Date,Open,High,Low,Close,Adj Close,Volume
2019-10-27,263.745270,275.767609,260.418030,270.032379,270.032379,15852255531
2019-10-28,270.260010,274.702454,263.541443,267.069855,267.069855,15215602709
2019-10-29,267.080902,279.840149,266.008514,277.646057,277.646057,15495051070
2019-10-30,277.637024,277.092621,263.223541,267.784607,267.784607,15202029121
2019-10-31,267.937531,273.842224,261.244965,266.901031,266.901031,13939294860
2019-11-01,266.664246,267.855438,262.116180,266.278046,266.278046,13237357549
2019-11-02,266.347870,268.795135,264.581360,266.214081,266.214081,11706559375
2019-11-03,266.314117,267.582031,260.052979,263.823059,263.823059,12669070287
2019-11-04,263.669769,272.935028,263.933136,270.514130,270.514130,15317216849
2019-11-05,270.447540,277.561218,267.510132,274.725983,274.725983,14547497150
2019-11-06,274.449249,281.422913,274.327911,278.582611,278.582611,14767765151
2019-11-07,278.452423,278.081757,270.408539,272.451508,272.451508,13162278828
2019-11-08,272.375732,275.160004,266.016052,268.449890,268.449890,13373249408
2019-11-09,268.596008,270.821014,267.999237,269.640869,269.640869,10605324058
2019-11-10,269.516479,278.411530,269.320984,276.306763,276.306763,12763817598
2019-11-11,276.344147,277.875061,270.207520,270.796326,270.796326,11500251452
2019-11-12,270.906097,274.695831,269.204803,273.081360,273.081360,11388686006
2019-11-13,273.226105,276.835388,271.872894,275.266296,275.266296,10736968136
2019-11-14,275.286407,277.955536,272.588531,274.072876,274.072876,11600473441
